board_rank,name,pos,team,bye,inj,proj_ppr,proj_half,proj_std,adp_ppr,adp_half,adp_std,adp_ppr_sleeper,adp_ppr_espn,adp_sources,gp,rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,pass_yd,pass_td,pass_int,sleeper_id,espn_id
1,Jahmyr Gibbs,RB,DET,6,,351.8,299.9,268.4,1.4,1.4,1.7,1.6,1.4,5,18,66,540,3.2,275,1340,13.3,,,,9221,
2,Bijan Robinson,RB,ATL,11,,337.8,292.9,260.9,2.4,2.4,1.9,2.9,2.5,5,18,69,621,3.2,283,1371,8.6,,,,9509,
3,Ja'Marr Chase,WR,CIN,6,,324.2,256.6,202.1,3.6,3.6,5.0,3.7,4.3,5,18,115,1427,10.9,4,18,0.1,,,,7564,
4,Puka Nacua,WR,LAR,11,,333.1,259.0,205.5,5.0,5.3,6.8,4.8,5.2,5,18,115,1499,9.8,12,73,1.0,,,,9493,
5,Christian McCaffrey,RB,SF,8,,308.4,256.0,221.0,6.0,6.0,5.5,5.2,7.6,5,18,76,663,4.5,236,970,7.4,,,,4034,3117251
6,Jaxon Smith-Njigba,WR,SEA,11,,304.4,235.1,185.6,6.6,7.2,8.8,6.2,6.5,5,18,107,1448,8.3,5,29,0.2,,,,9488,
7,Jonathan Taylor,RB,IND,13,,294.0,254.3,236.3,6.7,6.2,4.6,6.2,6.3,5,18,43,334,1.2,306,1443,11.2,,,,6813,4242335
8,Amon-Ra St. Brown,WR,DET,6,,302.9,227.5,174.5,8.1,7.9,11.8,8.7,8.6,5,18,112,1341,9.2,3,15,0.1,,,,7547,
9,James Cook,RB,BUF,7,,270.8,245.3,229.8,9.7,8.9,7.2,9.6,10.3,5,18,34,287,1.8,282,1336,11.0,,,,8138,
10,CeeDee Lamb,WR,DAL,14,,282.5,222.5,174.5,11.2,11.7,13.7,10.6,11.5,5,18,100,1315,8.3,3,14,0.1,,,,6786,4241389
11,Justin Jefferson,WR,MIN,6,,272.2,205.4,160.4,12.2,12.6,15.6,11.7,12.3,5,18,101,1273,7.2,2,8,0.1,,,,6794,4262921
12,De'Von Achane,RB,MIA,6,,275.1,229.9,202.4,12.6,12.6,10.9,13.8,13.6,5,18,60,463,2.4,249,1239,5.5,,,,9226,
13,Saquon Barkley,RB,PHI,10,,259.9,228.2,209.7,13.8,13.1,12.7,12.0,14.3,5,18,40,324,2.2,286,1252,8.3,,,,4866,3929630
14,Chase Brown,RB,CIN,6,,263.4,226.7,198.2,14.7,15.3,15.4,13.6,18.3,5,18,61,426,2.9,229,990,7.7,,,,9224,
15,Derrick Henry,RB,BAL,13,,262.4,238.4,229.9,16.3,14.3,10.2,18.8,16.7,5,18,19,172,1.1,301,1455,12.7,,,,3198,3043078
16,Omarion Hampton,RB,LAC,7,,252.4,218.9,194.9,17.3,17.0,16.0,15.9,18.1,5,18,50,364,1.9,243,1055,8.7,,,,12507,
17,Ashton Jeanty,RB,LV,13,,266.0,228.7,204.2,19.3,19.7,18.7,16.9,21.6,5,18,57,428,2.0,269,1119,7.5,,,,12527,
18,Kenneth Walker,RB,KC,5,,258.8,225.5,207.0,20.1,19.6,18.4,19.3,24.9,5,18,43,324,1.8,268,1199,9.0,,,,8151,
19,Drake London,WR,ATL,11,,258.4,205.2,160.2,20.1,21.8,23.4,20.7,20.9,5,18,95,1196,7.1,1,6,,,,,8112,
20,A.J. Brown,WR,NE,11,IR,178.8,140.0,113.0,22.9,23.5,27.4,17.3,22.2,5,16,60,868,5.2,1,5,,,,,5859,4047646
21,Josh Allen,QB,BUF,7,,370.6,361.5,361.5,23.1,22.6,22.4,20.8,18.6,4,18,,,,114,562,11.8,3870,27.1,11,4984,3918298
22,Nico Collins,WR,HOU,8,,255.3,220.0,178.0,23.2,23.0,24.9,24.7,26.1,5,18,85,1230,7.4,3,15,0.1,,,,7569,
23,George Pickens,WR,DAL,14,,242.8,205.7,165.7,23.6,24.2,23.7,22.0,28.4,5,18,80,1165,7.6,1,6,,,,,8137,
24,Trey McBride,TE,ARI,14,,238.7,186.9,138.9,26.0,28.0,34.2,25.1,23.3,5,18,102,996,6.2,,,,,,,8130,
25,Brock Bowers,TE,LV,13,Out,218.3,180.5,134.5,26.6,28.4,35.5,23.2,24.4,5,16,89,922,5.8,4,15,0.2,,,,11604,
26,Jeremiyah Love,RB,ARI,14,Questionable,244.1,188.3,164.8,27.3,27.3,26.4,28.0,25.6,5,17,56,419,2.1,228,1005,5.8,,,,13287,
27,Chris Olave,WR,NO,8,,242.9,194.9,153.9,27.3,27.9,29.6,30.3,30.1,5,18,87,1145,6.8,1,6,,,,,8144,
28,Rashee Rice,WR,KC,5,,244.7,185.3,141.3,28.4,30.0,33.8,29.1,29.4,5,18,90,1024,7.8,7,36,0.6,,,,10229,
29,Malik Nabers,WR,NYG,8,Questionable,240.8,193.7,150.7,28.7,29.3,31.3,26.0,36.5,5,17,86,1122,6.6,4,20,0.1,,,,11632,
30,Kyren Williams,RB,LAR,11,,221.0,192.0,176.0,29.7,28.5,21.8,27.4,35.6,5,18,35,236,1.9,228,1006,8.9,,,,8150,
31,Javonte Williams,RB,DAL,14,,236.6,193.0,174.0,30.2,28.9,26.1,32.9,33.2,5,18,38,232,1.3,268,1149,9.2,,,,7588,
32,DeVonta Smith,WR,PHI,10,,234.3,189.2,149.2,31.7,31.8,37.5,33.1,36.5,5,18,85,1098,6.5,1,6,,,,,7525,
33,Breece Hall,RB,NYJ,13,,242.9,192.5,174.0,33.2,32.2,31.4,34.6,36.0,5,18,45,377,2.4,243,1076,6.8,,,,8155,
34,Lamar Jackson,QB,BAL,13,,328.8,326.0,326.0,37.2,38.5,25.7,31.6,32.3,4,18,,,,122,675,4.4,3701,26.9,9,4881,3916387
35,Zay Flowers,WR,BAL,13,,233.6,187.7,147.2,37.2,37.1,38.2,41.3,44.4,5,18,81,1139,5.7,7,43,0.4,,,,9997,
36,Travis Etienne,RB,NO,8,,225.8,189.7,171.7,37.3,35.3,32.9,43.1,40.3,5,18,40,335,2.0,243,1041,6.0,,,,7543,
37,Ladd McConkey,WR,LAC,7,,224.6,187.7,147.2,39.0,39.4,42.7,34.7,47.6,5,18,80,1041,6.7,2,12,,,,,11635,
38,Garrett Wilson,WR,NYJ,13,,237.7,183.4,141.9,39.1,39.6,42.9,45.5,37.3,5,18,92,1110,5.6,3,13,0.1,,,,8146,
39,Emeka Egbuka,WR,TB,10,,226.3,185.5,147.0,40.2,41.2,43.4,38.1,46.1,5,18,73,1078,7.2,3,16,0.1,,,,12514,
40,Cam Skattebo,RB,NYG,8,,214.3,180.2,159.2,41.1,39.8,37.9,40.8,46.4,5,18,43,317,1.2,228,951,6.4,,,,12481,
41,Tetairoa McMillan,WR,CAR,5,,229.4,184.5,146.0,41.2,41.3,42.2,37.4,43.7,5,18,80,1128,5.9,1,6,,,,,12526,
42,Tee Higgins,WR,CIN,6,,221.8,186.9,149.4,42.3,43.2,37.8,36.1,53.7,5,18,74,1002,7.7,1,6,,,,,6801,4239993
43,Colston Loveland,TE,CHI,10,,210.9,173.4,131.4,43.6,45.4,51.0,39.7,42.0,5,18,82,925,6.0,1,4,,,,,12517,
44,Jaylen Waddle,WR,DEN,10,,217.3,182.5,144.0,45.2,45.5,44.7,44.3,55.2,5,18,77,998,6.5,3,15,0.1,,,,7526,
45,D'Andre Swift,RB,CHI,10,,208.9,189.5,171.0,46.2,45.2,42.1,50.4,54.9,5,18,34,271,1.1,217,978,7.5,,,,6790,4259545
46,Davante Adams,WR,LAR,11,,212.3,161.0,129.5,46.8,46.6,42.5,51.8,46.9,5,18,65,908,9.3,,,,,,,2133,16800
47,Bucky Irving,RB,TB,10,,202.6,179.3,161.3,47.5,48.6,42.6,41.1,58.2,5,18,36,282,1.9,229,950,5.7,,,,11584,
48,Drake Maye,QB,NE,11,,325.4,320.8,320.8,49.0,50.1,49.3,48.6,46.8,4,18,,,,94,480,4.1,4052,28.5,11,11564,
49,Quinshon Judkins,RB,CLE,11,,211.4,180.0,164.0,50.6,49.9,48.1,53.0,49.0,5,18,32,225,0.9,281,1129,6.6,,,,12512,
50,David Montgomery,RB,HOU,8,,202.9,190.1,174.1,50.8,49.4,46.0,46.0,64.7,5,18,32,232,0.8,232,986,7.7,,,,5892,4035538
51,Joe Burrow,QB,CIN,6,,310.6,306.1,306.1,51.5,51.9,52.1,52.1,52.6,4,18,,,,49,165,2.1,4149,33.6,11,6770,3915511
52,Tyler Warren,TE,IND,13,,205.8,159.6,118.1,52.2,54.6,63.8,48.1,50.9,5,18,84,877,5.3,6,17,0.4,,,,12518,
53,DJ Moore,WR,BUF,7,,194.6,147.5,116.0,53.6,53.0,53.6,54.8,60.3,5,18,65,900,6.0,6,32,0.4,,,,4983,3915416
54,Jameson Williams,WR,DET,6,,207.7,176.2,146.2,54.9,53.4,47.0,59.8,66.0,5,18,62,1014,6.3,7,45,0.6,,,,8148,
55,Terry McLaurin,WR,WAS,7,,215.9,176.8,139.8,57.1,56.7,56.1,55.0,62.7,5,18,75,1041,6.0,1,7,,,,,5927,3121422
56,Jadarian Price,RB,SEA,11,,179.6,160.5,151.0,57.6,55.0,58.0,62.4,68.7,5,18,24,180,1.2,212,895,7.2,,,,13286,
57,Luther Burden,WR,CHI,10,,207.7,173.0,137.0,60.0,61.5,55.9,55.1,76.8,5,18,74,915,6.0,10,55,0.4,,,,12519,
58,Jalen Hurts,QB,PHI,10,,319.9,310.5,310.5,60.1,61.5,63.9,58.4,53.7,4,18,,,,114,480,9.1,3624,22.7,9,6904,4040715
59,Bhayshul Tuten,RB,JAX,7,,189.9,158.8,142.8,60.2,59.1,54.2,61.5,64.5,5,18,33,243,1.2,210,891,6.3,,,,12490,
60,Rome Odunze,WR,CHI,10,Questionable,210.5,173.9,139.9,65.2,64.0,63.3,65.3,70.8,5,17,64,1003,7.7,1,6,,,,,11620,
61,Mike Evans,WR,SF,8,,206.6,187.2,152.2,65.9,66.2,61.4,63.0,84.2,5,18,65,986,7.1,,,,,,,2216,16737
62,Rhamondre Stevenson,RB,NE,11,,204.7,154.5,140.0,66.4,65.0,59.3,78.4,78.2,5,18,38,302,1.7,200,856,7.2,,,,7611,
63,Jayden Daniels,QB,WAS,7,,318.2,308.7,308.7,67.5,67.9,66.3,66.1,52.0,4,18,,,,130,684,5.6,3663,22.1,10,11566,
64,TreVeyon Henderson,RB,NE,11,Out,162.4,153.5,136.0,67.7,66.0,58.4,60.6,82.5,5,17,34,242,1.1,155,691,5.0,,,,12529,
65,Christian Watson,WR,GB,11,,198.3,176.1,144.6,69.3,67.2,59.6,68.6,91.8,5,18,60,948,7.1,2,13,0.1,,,,8167,
66,Jaylen Warren,RB,PIT,9,,182.3,152.6,134.6,70.5,70.3,62.6,71.7,87.9,5,18,41,294,1.2,178,784,4.8,,,,8228,
67,Parker Washington,WR,JAX,7,,200.1,176.4,140.4,71.0,69.8,68.0,73.4,93.4,5,18,68,879,6.1,9,48,0.3,,,,9487,
68,Barion Brown,WR,NO,8,,63.0,52.0,41.0,71.0,369.6,,,,1,18,22,290,2.0,,,,,,,13533,
69,Oscar Delp,TE,NO,8,Out,39.4,30.9,22.4,71.0,374.4,,,,1,18,17,164,1.0,,,,,,,13319,
70,Dak Prescott,QB,DAL,14,,299.7,303.9,303.9,72.0,74.6,84.8,76.3,72.8,4,18,,,,48,171,1.6,4274,30.8,13,3294,2577417
71,Sam LaPorta,TE,DET,6,,192.9,158.5,120.5,72.5,69.8,79.6,57.3,75.4,5,18,77,815,5.7,1,3,,,,,10859,
72,Kyle Pitts,TE,ATL,11,,177.6,138.6,105.6,73.2,74.7,89.2,67.5,69.5,5,18,73,804,4.1,,,,,,,7553,
73,Carnell Tate,WR,TEN,9,,189.8,144.8,112.3,74.2,73.2,73.8,69.9,83.3,5,18,70,918,4.7,2,10,,,,,13279,
74,Brenen Thompson,WR,LAC,7,,39.0,32.0,25.0,74.3,368.5,72.6,,,1,18,14,190,1.0,,,,,,,13380,
75,Caleb Williams,QB,CHI,10,,295.1,299.3,299.3,74.6,76.7,81.3,69.7,86.7,4,18,,,,74,381,2.7,3816,27.0,10,11560,
76,Marvin Harrison,WR,ARI,14,,190.2,155.2,124.2,75.5,75.5,77.7,76.5,82.0,5,18,66,919,5.5,,,,,,,11628,
77,George Kittle,TE,SF,8,,176.9,138.3,107.3,75.7,77.2,86.8,82.0,69.3,5,18,67,753,5.7,,,,,,,4217,3040151
78,Bryce Lance,WR,NO,8,,38.7,31.2,23.7,76.0,323.6,76.4,,,1,18,15,177,1.0,,,,,,,13420,
79,DK Metcalf,WR,PIT,9,,189.6,152.3,121.3,76.7,76.2,73.0,75.7,87.6,5,18,63,893,6.1,2,10,,,,,5846,4047650
80,Courtland Sutton,WR,DEN,10,,189.4,144.8,115.3,77.9,78.5,75.2,79.6,84.8,5,18,64,844,6.8,,,,,,,5045,3128429
81,Josh Jacobs,RB,GB,11,NA,151.9,127.9,116.4,78.7,75.5,67.8,47.1,102.7,5,14,23,175,1.0,163,677,6.3,,,,5850,4047365
82,Tony Pollard,RB,TEN,9,,172.8,146.1,132.1,79.0,77.6,72.5,83.9,88.5,5,18,29,185,0.7,214,918,5.2,,,,5967,3916148
83,Tucker Kraft,TE,GB,11,,173.4,140.9,107.4,79.1,77.3,70.2,64.7,92.2,5,18,68,776,4.6,2,8,0.1,,,,9484,
84,Harold Fannin,TE,CLE,11,,184.7,143.4,106.4,79.7,80.0,83.4,72.6,71.4,5,18,79,782,4.1,7,23,0.3,,,,12506,
85,Malik Benson,WR,LV,13,,60.6,50.1,39.6,82.7,313.1,,,,1,18,21,276,2.0,,,,,,,13329,
86,Justin Herbert,QB,LAC,7,,294.2,295.5,295.5,84.7,84.7,85.9,83.7,87.2,4,18,,,,75,376,2.7,3918,26.3,11,6797,4038941
87,Rico Dowdle,RB,PIT,9,,174.8,142.1,123.1,86.2,85.5,76.3,86.3,100.2,5,18,34,242,1.0,193,835,4.8,,,,7021,4038815
88,Brian Thomas,WR,JAX,7,,186.0,164.4,133.4,86.5,85.4,79.6,74.8,115.3,5,18,60,879,6.0,4,20,0.2,,,,11631,
89,Michael Wilson,WR,ARI,14,,171.5,136.5,107.0,88.1,88.7,83.4,87.8,107.9,5,18,65,813,4.2,1,6,,,,,10232,
90,Chuba Hubbard,RB,CAR,5,,164.2,136.9,125.9,88.1,88.7,81.8,80.7,113.5,5,18,32,226,1.2,186,766,4.6,,,,7594,
91,Matthew Stafford,QB,LAR,11,,291.3,280.2,280.2,90.6,94.0,96.5,94.0,94.9,4,18,,,,27,29,0.6,4232,34.0,11,421,12483
92,J.K. Dobbins,RB,DEN,10,,167.5,147.2,134.2,91.2,88.5,76.3,90.3,114.0,5,18,24,161,0.9,188,845,6.3,,,,6806,4241985
93,Skyler Bell,WR,BUF,7,,63.6,52.6,41.6,91.8,391.4,102.3,,,1,18,22,291,2.0,1,5,,,,,13402,
94,Los Angeles Rams,DEF,LAR,11,,106.0,106.0,106.0,91.8,96.6,104.2,85.7,,2,1,,,,,,,,,,LAR,
95,Alec Pierce,WR,IND,13,,181.6,150.9,123.9,92.2,90.7,84.5,96.7,107.0,5,18,57,906,5.6,1,7,,,,,8142,
96,Chris Godwin,WR,TB,10,,165.6,139.6,105.6,92.3,91.2,86.0,93.0,127.5,5,18,64,726,4.8,1,6,,,,,4037,3116165
97,Zavion Thomas,WR,CHI,10,,57.2,47.2,37.2,92.5,382.9,80.3,,,1,18,20,252,2.0,,,,,,,13411,
98,Trevor Lawrence,QB,JAX,7,,301.3,303.4,303.4,94.2,93.7,88.3,102.2,104.7,4,18,,,,77,340,4.9,3943,26.0,13,7523,
99,Michael Pittman,WR,PIT,9,,184.0,136.4,101.9,94.3,95.4,104.5,104.0,92.5,5,18,79,817,4.0,1,7,,,,,6819,4035687
100,RJ Harvey,RB,DEN,10,,146.8,125.6,107.1,94.5,97.3,74.6,81.0,131.1,5,18,43,322,2.3,101,415,2.9,,,,12489,
101,Houston Texans,DEF,HOU,8,,104.0,104.0,104.0,94.8,99.3,102.9,95.2,,2,1,,,,,,,,,,HOU,
102,Travis Kelce,TE,KC,5,,174.6,136.4,101.4,95.9,101.5,110.2,89.1,94.6,5,18,72,743,4.7,,,,,,,1466,15847
103,Jonathon Brooks,RB,CAR,5,,167.1,137.9,120.9,96.7,93.5,109.6,97.5,107.8,5,18,35,262,1.2,177,749,4.2,,,,11583,
104,Brandon Aubrey,K,DAL,14,,143.8,116.0,116.0,96.7,111.5,103.5,90.3,81.8,4,18,,,,,,,,,,11533,
105,Jaxson Dart,QB,NYG,8,,302.8,296.5,296.5,98.7,100.2,101.4,97.4,82.4,4,18,,,,104,551,6.3,3597,21.8,11,12508,
106,Seattle Seahawks,DEF,SEA,11,,103.0,103.0,103.0,100.9,106.2,107.8,103.1,,2,1,,,,,,,,,,SEA,
107,Patrick Mahomes,QB,KC,5,,293.8,286.7,286.7,101.1,102.7,97.5,110.8,109.9,4,18,,,,51,269,2.2,4053,28.1,12,4046,3139477
108,Stefon Diggs,WR,WAS,7,,165.1,125.3,93.3,101.3,102.0,106.7,106.4,106.7,5,18,69,728,3.8,1,6,,,,,2449,2976212
109,Kenny Gainwell,RB,TB,10,,165.6,128.8,105.3,101.4,103.9,102.8,111.5,102.5,4,18,50,349,2.0,109,471,3.8,,,,7567,
110,Brock Purdy,QB,SF,8,,302.1,303.2,303.2,101.6,101.4,96.1,122.8,109.0,4,18,,,,65,262,3.3,4114,28.9,14,8183,
111,Bo Nix,QB,DEN,10,,300.8,295.7,295.7,103.8,105.2,105.8,116.2,105.4,4,18,,,,80,346,4.0,3897,26.7,12,11563,
112,Quentin Johnston,WR,LAC,7,,164.9,134.9,105.9,107.2,104.8,96.6,111.8,137.0,5,18,55,764,5.3,2,11,0.1,,,,9754,
113,Blake Corum,RB,LAR,11,,146.6,127.8,120.3,107.7,104.4,89.8,100.7,129.6,5,18,14,98,0.5,181,817,6.9,,,,11586,
114,Jordan Addison,WR,MIN,6,,171.2,141.7,111.7,107.8,107.0,100.8,101.3,127.0,5,18,60,781,5.1,3,18,0.1,,,,9756,
115,MarShawn Lloyd,RB,GB,11,,142.2,137.0,125.0,108.2,100.4,100.2,137.6,108.0,5,18,22,163,1.0,163,688,5.2,,,,11581,
116,Kyle Monangai,RB,CHI,10,,164.6,143.1,131.6,109.5,106.6,92.3,104.1,126.7,5,18,24,190,1.1,178,781,6.2,,,,12534,
117,Wan'Dale Robinson,WR,TEN,9,,172.8,135.2,99.7,109.8,112.7,114.5,121.8,113.4,5,18,75,782,3.0,4,19,0.1,,,,8126,
118,Denver Broncos,DEF,DEN,10,,96.0,96.0,96.0,110.6,114.0,116.5,115.7,,2,1,,,,,,,,,,DEN,
119,Dallas Goedert,TE,PHI,10,,156.7,109.5,83.0,111.4,114.8,98.0,120.9,103.2,5,18,62,658,4.9,,,,,,,5022,3121023
120,Jordan Mason,RB,MIN,6,,153.1,143.7,133.7,112.7,107.7,95.9,109.0,143.1,5,18,17,112,0.7,193,852,6.3,,,,8408,
121,Aaron Jones,RB,MIN,6,,157.7,120.1,103.1,112.8,112.0,104.9,127.5,119.5,5,18,41,296,1.5,141,611,3.1,,,,4199,3042519
122,Jayden Reed,WR,GB,11,,185.8,162.6,127.6,113.1,111.5,108.7,108.6,141.3,5,18,67,798,5.2,11,73,0.4,,,,10222,
123,Jacory Croskey-Merritt,RB,WAS,7,,143.3,118.4,108.9,113.8,108.7,93.8,114.7,139.6,5,18,17,127,0.8,169,730,6.2,,,,12533,
124,Josh Downs,WR,IND,13,,164.9,137.3,102.3,114.0,115.7,112.6,113.3,139.0,5,18,70,733,3.3,2,12,0.1,,,,9500,
125,Dalton Kincaid,TE,BUF,7,,159.6,130.6,97.6,115.4,119.2,112.3,88.4,133.8,5,18,63,717,4.2,,,,,,,10236,
126,Matthew Golden,WR,GB,11,,180.4,141.0,112.0,115.7,112.9,122.2,125.3,117.6,5,18,63,829,4.9,7,44,0.3,,,,12501,
127,Jake Ferguson,TE,DAL,14,,163.4,124.8,89.8,115.7,121.1,109.7,99.3,117.0,5,18,72,609,5.4,,,,,,,8110,
128,Makai Lemon,WR,PHI,10,,161.1,138.5,108.5,115.8,114.4,118.1,92.3,137.5,5,18,56,756,4.8,2,10,,,,,13294,
129,Isaiah Likely,TE,NYG,8,,156.5,126.3,95.3,116.9,119.7,122.8,107.6,124.5,5,18,63,670,4.5,,,,,,,8131,
130,Jason Myers,K,SEA,11,,134.8,111.0,111.0,119.2,127.2,124.1,124.7,113.0,4,18,,,,,,,,,,2747,2473037
131,Jared Goff,QB,DET,6,,280.0,283.5,283.5,119.8,119.5,112.5,131.7,138.7,4,18,,,,28,52,0.8,4233,30.0,10,3163,3046779
132,Cameron Dicker,K,LAC,7,,133.9,106.0,106.0,120.4,126.3,122.0,118.8,109.8,4,18,,,,,,,,,,8259,
133,Jakobi Meyers,WR,JAX,7,,175.6,137.3,105.3,120.8,122.6,115.2,130.4,122.5,5,18,67,749,5.1,5,27,0.3,,,,5947,3916433
134,KC Concepcion,WR,CLE,11,,156.2,127.4,98.4,121.1,118.5,119.4,118.6,150.1,5,18,58,724,3.6,8,44,0.2,,,,13298,
135,Deebo Samuel,WR,SF,8,,156.1,127.7,99.7,121.2,120.0,119.2,129.0,145.9,5,18,53,643,4.0,20,99,1.1,,,,5872,3126486
136,Eli Raridon,TE,NE,11,,40.9,26.0,19.0,121.3,312.6,95.8,,170.0,2,18,17,164,1.2,,,,,,,13421,
137,Philadelphia Eagles,DEF,PHI,10,,98.0,98.0,98.0,124.5,128.2,125.5,123.5,,2,1,,,,,,,,,,PHI,
138,De'Zhaun Stribling,WR,SF,8,Out,126.0,105.4,82.4,124.6,119.0,141.5,138.1,139.4,5,16,43,602,3.8,,,,,,,13417,
139,Mark Andrews,TE,BAL,13,,165.8,132.5,102.5,125.5,122.1,110.0,125.4,127.7,5,18,59,636,6.5,8,23,0.7,,,,5012,3116365
140,Xavier Worthy,WR,KC,5,,167.5,134.0,106.5,126.1,123.1,117.1,132.7,134.8,5,18,55,743,4.3,15,83,0.8,,,,11624,
141,Khalil Shakir,WR,BUF,7,,171.2,135.2,99.7,127.4,129.2,123.5,146.0,139.2,5,18,71,758,3.8,2,11,0.1,,,,8134,
142,Rachaad White,RB,WAS,7,,146.1,111.1,94.1,127.5,124.2,121.8,139.8,130.4,5,18,37,259,1.4,124,517,4.0,,,,8136,
143,Ka'imi Fairbairn,K,HOU,8,,135.4,113.0,113.0,127.8,129.7,131.6,128.2,125.7,4,18,,,,,,,,,,3451,2971573
144,Romeo Doubs,WR,NE,11,,153.6,132.7,104.2,128.9,128.2,124.1,134.3,149.5,5,18,54,695,5.1,,,,,,,8121,
145,Kevin Coleman,WR,MIA,6,,45.8,26.4,20.4,130.3,311.8,,,170.2,2,18,18,227,0.9,,,,,,,13338,
146,New England Patriots,DEF,NE,11,,92.0,92.0,92.0,130.6,131.3,134.3,136.5,,2,1,,,,,,,,,,NE,
147,Baltimore Ravens,DEF,BAL,13,,95.0,95.0,95.0,135.3,135.8,136.7,135.8,,2,1,,,,,,,,,,BAL,
148,Baker Mayfield,QB,TB,10,,274.5,274.9,274.9,135.5,142.8,132.0,145.9,147.8,4,18,,,,59,319,1.7,3827,25.8,13,4892,3052587
149,Jalen Coker,WR,CAR,5,,156.4,135.9,105.9,135.8,139.3,133.8,149.2,154.9,5,18,61,720,4.0,1,6,,,,,11646,
150,Jordyn Tyson,WR,NO,8,IR,105.5,90.5,70.0,137.7,134.2,110.0,117.5,168.1,5,14,38,499,2.9,1,6,,,,,13281,
151,Mike Washington,RB,LV,13,,82.7,89.5,81.5,138.1,130.2,133.2,139.8,163.8,5,18,12,90,0.7,101,415,2.7,,,,13305,
152,Kyler Murray,QB,MIN,6,,288.1,283.1,283.1,138.7,139.3,142.4,151.9,138.1,4,18,,,,85,508,3.3,3720,22.5,11,5849,3917315
153,Woody Marks,RB,HOU,8,,107.8,74.3,64.8,138.7,136.7,122.7,146.6,152.8,5,18,22,168,1.2,119,482,2.6,,,,12474,
154,Harrison Mevis,K,LAR,11,,132.7,106.0,106.0,139.4,142.2,143.5,155.9,128.2,4,18,,,,,,,,,,12015,
155,Seth McGowan,RB,IND,13,,36.3,32.8,29.3,140.4,324.5,128.9,,170.3,2,18,8,54,0.3,39,161,1.0,,,,13424,
156,Pittsburgh Steelers,DEF,PIT,9,,88.0,88.0,88.0,141.2,145.8,155.6,150.4,,2,1,,,,,,,,,,PIT,
157,Hunter Henry,TE,NE,11,,154.3,124.5,95.5,141.6,144.6,123.5,142.8,153.9,5,18,58,653,5.2,,,,,,,3214,3046439
158,Cam Little,K,JAX,7,,129.4,112.0,112.0,141.6,145.6,138.6,132.4,141.0,4,18,,,,,,,,,,11786,
