board_rank,name,pos,team,bye,inj,proj_ppr,proj_half,proj_std,adp_ppr,adp_half,adp_std,adp_ppr_sleeper,adp_ppr_espn,adp_sources,gp,rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,pass_yd,pass_td,pass_int,sleeper_id,espn_id
239,Ty Johnson,RB,BUF,7,Questionable,68.0,47.3,38.8,170.7,419.4,,,170.7,1,17,19,164,1.1,40,172,1.5,,,,6039,3915411
240,Xavier Legette,WR,CAR,5,,80.0,54.0,42.0,170.8,428.6,,,170.8,1,18,30,353,2.3,2,10,0.1,,,,11626,
241,Isiah Pacheco,RB,DET,6,IR,62.3,48.6,43.6,171.1,172.2,145.6,191.8,166.2,3,15,10,67,0.4,78,321,2.3,,,,8205,
242,Nicholas Singleton,RB,TEN,9,,41.8,57.7,51.7,171.2,166.9,144.2,226.0,170.2,3,18,8,59,0.6,43,177,1.3,,,,13288,
243,Dontayvion Wicks,WR,PHI,10,,89.7,57.4,44.4,171.4,179.1,177.7,,170.8,3,18,33,418,2.5,1,8,,,,,9486,
244,AJ Barner,TE,SEA,11,,128.0,113.4,84.4,171.5,178.1,154.9,188.4,169.6,4,18,51,480,3.8,10,16,0.7,,,,11603,
245,Malik Willis,QB,MIA,6,,258.8,270.1,270.1,171.8,174.7,146.4,209.1,167.3,4,18,,,,116,635,4.3,3276,15.4,10,8161,
246,Malachi Fields,WR,NYG,8,,104.8,86.2,67.2,171.9,167.0,171.4,218.7,170.9,4,18,39,491,2.8,1,7,,,,,13285,
247,Kirk Cousins,QB,LV,13,,39.4,39.2,39.2,171.9,343.2,174.0,,169.9,2,12,,,,5,8,0.2,675,4.3,3,1166,14880
248,Samaje Perine,RB,CIN,6,,85.0,62.8,55.8,172.2,324.7,168.4,,170.4,2,18,16,121,0.9,83,357,2.7,,,,4147,3116389
249,Ted Hurst,WR,TB,10,,82.2,79.9,61.9,172.2,172.2,134.5,239.6,170.2,3,18,30,364,2.6,2,13,,,,,13317,
250,Geno Smith,QB,NYJ,13,,231.4,222.5,222.5,172.5,200.7,175.0,,170.0,2,18,,,,52,190,1.0,3666,21.6,15,1373,15864
251,Chig Okonkwo,TE,WAS,7,,132.4,113.6,83.1,173.3,172.4,148.4,190.8,170.1,3,18,56,575,3.2,,,,,,,8210,
252,Darius Slayton,WR,,,,76.3,63.3,50.3,173.8,420.9,154.6,,,1,18,26,383,2.0,,,,,,,6149,3916945
253,Cooper Kupp,WR,SEA,11,,105.4,70.4,54.4,176.8,181.7,178.0,195.1,169.0,5,18,39,472,3.2,,,,,,,4039,2977187
254,Justice Hill,RB,BAL,13,,93.9,55.7,43.7,177.2,183.9,183.1,,170.0,3,18,32,262,1.3,46,204,1.3,,,,5995,4038441
255,Dylan Sampson,RB,CLE,11,,88.5,77.2,65.7,177.3,173.5,156.2,207.1,169.4,4,18,26,192,1.1,67,279,1.5,,,,12469,
256,Chris Bell,WR,MIA,6,,94.2,54.7,42.2,177.7,166.8,171.3,240.9,170.6,4,18,36,460,2.1,1,3,,,,,13311,
257,Tank Dell,WR,HOU,8,IR,51.9,43.4,34.9,177.8,177.7,180.4,188.8,164.8,4,18,17,218,2.0,2,11,,,,,9502,
258,Evan Engram,TE,DEN,10,,88.8,55.2,39.7,178.3,352.1,,,170.0,2,18,39,371,2.1,,,,,,,4066,3051876
259,Terrance Ferguson,TE,LAR,11,,103.0,82.8,65.3,179.2,178.7,164.1,202.9,167.1,4,18,35,432,4.1,,,,,,,12487,
260,Jauan Jennings,WR,MIN,6,,110.2,86.2,66.7,180.1,189.3,163.0,212.6,171.0,5,18,43,485,3.2,,,,,,,7049,3886598
261,Dallas Cowboys,DEF,DAL,14,,86.0,86.0,86.0,180.5,181.6,184.1,198.7,,2,1,,,,,,,,,,DAL,
262,Deshaun Watson,QB,CLE,11,,88.9,102.1,102.1,181.1,338.9,192.0,,170.1,2,12,,,,28,129,1.3,1307,6.6,5,4017,3122840
263,Braelon Allen,RB,NYJ,13,,64.6,47.2,42.2,181.1,175.3,160.5,208.9,170.9,4,18,11,80,0.4,70,291,2.5,,,,11576,
264,Blake Grupe,K,NYJ,13,,99.0,99.0,99.0,181.1,435.2,179.9,,,1,18,,,,,,,,,,11058,
265,Buffalo Bills,DEF,BUF,7,,84.0,84.0,84.0,181.2,414.6,185.2,216.9,,2,1,,,,,,,,,,BUF,
266,Ray Davis,RB,BUF,7,,53.1,60.6,56.1,182.3,177.7,165.2,221.3,170.7,3,18,9,67,0.4,54,231,2.1,,,,11575,
267,Green Bay Packers,DEF,GB,11,,86.0,86.0,86.0,183.8,186.6,183.1,204.3,,2,1,,,,,,,,,,GB,
268,Najee Harris,RB,NYG,8,,52.4,23.8,21.3,183.9,329.9,163.7,219.1,169.9,3,18,9,56,0.4,69,274,1.6,,,,7528,
269,Bryce Young,QB,CAR,5,,241.0,235.6,235.6,184.0,186.4,177.4,226.3,168.6,3,18,,,,55,262,2.6,3490,20.6,12,9228,
270,Fernando Mendoza,QB,LV,13,,203.1,212.2,212.2,184.6,185.6,183.8,206.2,168.7,3,16,,,,53,232,2.0,3034,16.9,11,13269,
271,Colby Parkinson,TE,LAR,11,,96.2,61.8,47.3,184.8,188.3,131.2,251.4,170.2,3,18,36,374,3.9,,,,,,,6865,4242557
272,Chase McLaughlin,K,TB,10,,123.5,105.0,105.0,184.8,183.7,178.6,220.2,170.0,3,18,,,,,,,,,,6650,3150744
273,David Njoku,TE,LAC,7,,81.2,46.5,35.0,185.0,185.2,147.1,223.4,169.8,3,18,31,324,2.9,,,,,,,4033,3123076
274,Cairo Santos,K,CHI,10,,122.0,100.0,100.0,185.4,292.0,175.4,223.6,168.5,3,18,,,,,,,,,,2020,17427
275,Jake Elliott,K,PHI,10,,112.8,90.0,90.0,185.9,345.3,198.7,215.4,168.9,3,18,,,,,,,,,,4195,3050478
276,Cam Ward,QB,TEN,9,,227.6,227.8,227.8,186.3,185.4,175.1,229.8,169.1,3,18,,,,47,194,2.0,3710,18.1,12,12522,
277,Wil Lutz,K,DEN,10,,117.9,100.0,100.0,186.4,332.2,165.1,253.3,169.5,4,18,,,,,,,,,,3678,2985659
278,Greg Dulcich,TE,MIA,6,,114.7,87.4,63.9,186.5,190.9,160.5,229.7,170.4,3,18,49,518,2.3,,,,,,,8172,
279,San Francisco 49ers,DEF,SF,8,,84.0,84.0,84.0,187.2,188.2,185.3,213.1,,2,1,,,,,,,,,,SF,
280,Chicago Bears,DEF,CHI,10,,85.0,85.0,85.0,187.4,187.1,183.9,216.9,,2,1,,,,,,,,,,CHI,
281,Pat Bryant,WR,DEN,10,,94.1,78.9,61.4,187.6,186.3,171.6,227.2,170.4,3,18,35,415,2.8,2,9,,,,,12492,
282,Devaughn Vele,WR,NO,8,,116.9,89.6,68.6,188.1,298.2,184.6,239.8,171.3,4,18,46,520,3.2,1,10,,,,,11834,
283,Adonai Mitchell,WR,NYJ,13,,113.2,80.8,63.3,188.2,185.2,166.3,231.0,171.0,3,18,39,533,3.3,2,11,0.1,,,,11625,
284,Ryan Flournoy,WR,DAL,14,,105.4,97.7,74.2,188.3,188.7,183.5,230.7,170.9,3,18,40,467,2.8,2,13,0.1,,,,11783,
285,Kimani Vidal,RB,LAC,7,,48.2,53.0,46.0,188.6,184.6,151.1,237.8,170.9,3,18,11,80,0.4,47,190,1.5,,,,11647,
286,Jaylin Noel,WR,HOU,8,,108.6,69.2,53.2,188.7,338.9,190.1,213.7,171.4,3,18,41,477,2.6,6,30,0.1,,,,12536,
287,Isaac TeSlaa,WR,DET,6,,80.2,73.1,59.1,189.4,190.4,174.9,226.5,170.3,3,18,26,352,3.1,2,9,,,,,12535,
288,Kansas City Chiefs,DEF,KC,5,,87.0,87.0,87.0,189.7,188.4,168.8,222.5,,2,1,,,,,,,,,,KC,
289,James Conner,RB,ARI,14,IR,57.2,51.7,46.2,190.3,189.1,121.6,230.8,170.0,3,18,11,82,1.0,53,220,2.0,,,,4137,3045147
290,Pat Freiermuth,TE,PIT,9,,132.4,102.9,77.4,190.4,187.2,149.7,239.9,169.6,3,18,55,568,3.4,,,,,,,7600,
291,Calvin Ridley,WR,TEN,9,,106.3,63.8,50.3,190.8,199.9,160.4,253.2,170.2,4,18,35,527,2.7,4,19,0.2,,,,4981,3925357
292,Chimere Dike,WR,TEN,9,,89.4,70.4,51.4,190.8,404.9,174.6,229.4,,2,18,38,384,2.0,6,30,,,,,12540,
293,Tre' Harris,WR,LAC,7,,101.5,93.4,73.9,191.2,190.5,162.3,230.5,171.0,3,18,37,452,3.2,1,6,,,,,12509,
294,Keon Coleman,WR,BUF,7,,81.0,71.3,56.8,191.2,193.7,193.4,234.8,170.2,3,18,27,358,2.9,3,13,,,,,11637,
295,Aaron Rodgers,QB,PIT,9,,202.1,177.0,177.0,191.3,193.5,176.0,228.8,169.0,3,18,,,,25,81,0.9,3310,19.5,9,96,8439
296,Cade Otton,TE,TB,10,,112.7,95.8,69.3,192.0,195.2,171.9,233.1,170.2,4,18,49,479,2.6,,,,,,,8111,
297,Rashod Bateman,WR,BAL,13,,112.4,84.3,66.3,192.6,348.6,168.8,232.7,171.2,3,18,37,550,3.5,,,,,,,7571,
298,Gunnar Helm,TE,TEN,9,,128.6,101.8,73.3,193.0,196.7,157.4,233.1,170.6,3,18,57,526,3.2,,,,,,,12502,
